MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12,RMS,Zero_Crossing_Rate,label
-499.3814392089844,106.33680725097656,-68.59823608398438,16.300390243530273,39.59834289550781,-22.742403030395508,-18.4484920501709,-16.357332229614258,-30.753053665161133,-18.490781784057617,-6.346987724304199,-11.553803443908691,-20.2974796295166,0.3512575626373291,0.16489721834659576,0.11382126063108444,0.14995409548282623,0.16952860355377197,0.2782485783100128,0.3374965786933899,0.3368656039237976,0.3585647940635681,0.40503576397895813,0.42292845249176025,0.42502763867378235,0.01869177632033825,0.07475551307624113,elif
-520.8146362304688,151.8087158203125,-53.10831069946289,-1.7907154560089111,34.30548858642578,-16.318553924560547,-20.432376861572266,-11.309253692626953,-32.31288528442383,-20.17925453186035,-3.9565343856811523,-8.411151885986328,-9.507598876953125,0.3507607877254486,0.254891961812973,0.272257000207901,0.30741360783576965,0.32604068517684937,0.30887746810913086,0.30145764350891113,0.299686461687088,0.3696509599685669,0.39932626485824585,0.4758530557155609,0.42903319001197815,0.014530034735798836,0.060656666050295856,elif
-529.47021484375,106.44751739501953,-35.313392639160156,18.046245574951172,51.19330978393555,-2.1628735065460205,-13.981727600097656,-7.666635513305664,-25.31917953491211,-21.51119041442871,-4.764102458953857,-9.222607612609863,-19.031822204589844,0.21308092772960663,0.25238147377967834,0.2749651372432709,0.30699464678764343,0.3232346773147583,0.2646787762641907,0.2911721169948578,0.45688822865486145,0.5748047232627869,0.5353388786315918,0.31265977025032043,0.1744070053100586,0.013181128539144993,0.045991938164893616,elif
-623.3251342773438,106.4271240234375,-53.14668273925781,8.490728378295898,42.1517448425293,-16.82560920715332,-16.95425033569336,1.179896354675293,-17.195859909057617,-14.893119812011719,0.6544128656387329,-6.161948204040527,-15.439231872558594,0.43408921360969543,0.3059508800506592,0.23030242323875427,0.20084312558174133,0.2024451494216919,0.22477278113365173,0.2775520980358124,0.3060350716114044,0.4027616083621979,0.5349361300468445,0.4812350869178772,0.47415339946746826,0.006780166178941727,0.06934978945035461,elif
-490.5459289550781,136.99859619140625,-58.31875991821289,-4.527569770812988,33.9255485534668,-20.553936004638672,-16.439470291137695,-0.587942361831665,-27.259132385253906,-30.97528839111328,-9.875471115112305,-5.507564067840576,-13.424215316772461,0.2694860100746155,0.3258713185787201,0.3322279751300812,0.2666783034801483,0.2726456820964813,0.31401190161705017,0.4098765254020691,0.4088660478591919,0.3998865485191345,0.4439101219177246,0.4303855001926422,0.3229110538959503,0.018849248066544533,0.06831435616134751,elif
-506.1798400878906,121.41151428222656,-66.08386993408203,12.884347915649414,33.20175552368164,-25.935062408447266,-19.522066116333008,-24.133655548095703,-41.1257209777832,-20.00798225402832,-0.7591477036476135,-7.917449951171875,-22.051128387451172,0.35574468970298767,0.24520400166511536,0.21195393800735474,0.16397234797477722,0.19369593262672424,0.2762088179588318,0.3766154944896698,0.2668552100658417,0.26277992129325867,0.31227385997772217,0.347030907869339,0.3923446238040924,0.018958725035190582,0.08563275709219859,elif
-450.0169677734375,129.0858612060547,-74.74366760253906,18.17298126220703,34.02189636230469,-37.234458923339844,-23.349824905395508,-19.434890747070312,-35.01177215576172,-15.172432899475098,-1.8384969234466553,-11.751502990722656,-18.906911849975586,0.3281087577342987,0.4050656259059906,0.5227932333946228,0.5018976926803589,0.3109762668609619,0.27098435163497925,0.24249990284442902,0.24920232594013214,0.32451117038726807,0.3323349058628082,0.29195284843444824,0.30195093154907227,0.02103929966688156,0.07375124667553191,elif
-475.3448486328125,131.1952362060547,-77.40037536621094,5.119420051574707,34.43844985961914,-23.124502182006836,-12.966044425964355,-13.475634574890137,-32.10185623168945,-23.137771606445312,-10.999456405639648,-2.9688963890075684,-10.40630054473877,0.3172712028026581,0.27674996852874756,0.24473990499973297,0.30123114585876465,0.2882595658302307,0.25935932993888855,0.30695274472236633,0.26554200053215027,0.34863653779029846,0.47394755482673645,0.5654984712600708,0.5641329884529114,0.018598143011331558,0.08780405031028368,elif
-576.5894165039062,68.11299133300781,-52.52568817138672,14.374968528747559,45.84908676147461,-4.185710906982422,-4.106447219848633,2.3844974040985107,-21.673734664916992,-17.31475830078125,0.14514949917793274,-3.939676523208618,-10.380623817443848,0.23087406158447266,0.27304357290267944,0.30345281958580017,0.276010662317276,0.23492278158664703,0.19656497240066528,0.26885825395584106,0.3962898254394531,0.501545250415802,0.5345302224159241,0.4393528699874878,0.25055620074272156,0.009921746328473091,0.08304936835106383,elif
-531.2261352539062,68.62593078613281,-66.89369201660156,33.95777893066406,26.00661277770996,-25.825292587280273,-5.422091484069824,-17.858884811401367,-25.739864349365234,-5.534142017364502,-2.6301465034484863,-10.830385208129883,-16.023006439208984,0.515519380569458,0.304998517036438,0.17366965115070343,0.17343156039714813,0.16614431142807007,0.14029493927955627,0.13707679510116577,0.13597384095191956,0.3076988160610199,0.4630805552005768,0.501528799533844,0.46692538261413574,0.014144323766231537,0.10046062638274336,elif
