MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,MFCC_21,MFCC_22,MFCC_23,MFCC_24,MFCC_25,MFCC_26,MFCC_27,MFCC_28,MFCC_29,MFCC_30,MFCC_31,MFCC_32,MFCC_33,MFCC_34,MFCC_35,MFCC_36,MFCC_37,MFCC_38,MFCC_39,MFCC_40,Kişi,Ses Türü
-523.7902,153.19011,45.13061,39.546207,4.204457,9.542485,3.520844,3.2098842,-4.837692,-3.0289931,1.9066664,-13.5049,-2.5389876,2.6408591,-13.4212,-5.135079,1.0854715,-3.167315,-3.108302,-6.159871,-0.6149864,-2.397559,-6.5018344,-4.2523246,-3.6767507,-2.5613513,-1.6115042,-4.4397707,-2.1052735,-2.5287998,-6.2417297,-2.8147907,-1.6904515,-0.87317705,-2.2388635,-1.8566525,-0.83956724,-1.4832516,-1.3547581,-0.8224266,elif,notr
-491.18033,152.56178,41.43013,43.625843,5.8384724,-2.8161697,-12.164423,-3.7241707,-0.54665434,-8.931973,-4.169629,-13.13539,-12.683267,-4.7509375,-13.096266,-5.798683,-0.43446785,-8.081311,-0.1998849,-7.6922445,-8.153694,0.99405783,-5.507611,-4.529668,-5.567912,-4.485639,0.47541076,-5.9091763,-3.2581556,-1.210891,-8.558036,-2.3278222,-1.2080017,-5.314075,-1.3781601,-1.5681423,-2.5193784,-3.4406416,-1.753788,0.5625169,elif,notr
-512.7947,153.95135,22.450224,56.146114,4.2362227,-6.0612245,-4.142517,4.3111024,-3.1286933,-3.4419422,4.093555,-9.139383,-4.0427523,0.26741976,-11.812408,-4.243967,3.106528,-5.8564367,-2.4944978,-4.2434344,-5.3652062,-4.547122,-4.9106927,-3.3239758,-6.1272216,-1.6447629,-0.3478283,-6.1853504,-1.5324651,-1.8485543,-6.658847,-2.5132947,0.22273669,-1.3551394,-3.2263656,0.43998557,0.88507825,0.18358138,0.5643436,-0.29629856,elif,notr
-514.21277,169.02298,30.075983,44.613556,6.879667,4.0653143,-6.29684,5.4441385,-6.2733593,-6.3106813,8.29569,-11.44552,-5.6704903,-3.1059613,-11.573523,-2.987244,0.9087948,-4.772635,-0.27943036,-3.2747285,-5.0225086,0.1653355,-6.253824,-2.6815026,-1.6607339,-2.698358,1.7854381,-6.487195,-1.0308809,0.91033787,-5.7511406,-1.919882,-2.4164112,-1.5411575,-2.6994038,-0.97032034,-0.7327822,-1.6478033,-0.9970617,-1.8073963,elif,notr
-481.24814,170.9428,34.589535,33.63023,9.264119,6.4594603,-5.4932656,0.033197578,-5.9628253,-10.514624,4.290857,-9.046925,-9.378696,-5.574321,-11.308707,-4.2084165,-0.06020407,-4.5842924,-2.5691974,-5.90948,-6.3934474,0.9128921,-6.6513815,-5.749446,-2.3730335,-3.4645677,-0.33673277,-7.7410626,-3.2330499,0.14083004,-7.0050697,-4.2383947,-2.458627,-1.7633076,-2.4361668,-3.349553,-1.9052846,-1.4222107,-2.4528453,-1.8090957,elif,notr
-480.6705,162.24371,35.675194,39.09795,4.7760158,4.233577,-4.5988035,-0.36145893,-4.178554,-7.409407,0.5342203,-13.119218,-9.471185,-7.0983844,-11.016793,-4.298805,-2.7363722,-3.972999,-3.7436373,-6.1796803,-5.0052075,-2.1959703,-6.0115337,-5.4185834,-4.108612,-3.0688057,0.32079032,-8.622708,-3.9879138,1.165551,-7.3592424,-3.9435487,-3.0533924,-2.824472,-1.7998977,-1.8005297,-0.35377264,-1.1292864,-0.9166505,-0.28270954,elif,notr
-474.53796,152.8093,35.74263,41.93459,4.3413444,-2.4725099,-7.094075,2.7040753,-7.851424,-11.895152,1.5371907,-12.215167,-8.420047,-3.824757,-11.229633,-5.256382,-1.6952109,-5.715497,-4.350734,-5.168914,-7.030977,-3.5733778,-5.632818,-5.742429,-3.4772012,-5.2451854,0.87411886,-5.71429,-4.6138115,0.9790168,-8.668789,-1.371968,-1.9680096,-4.0095463,-1.2073988,-3.291708,-1.4125056,-3.6550727,-0.52240413,0.49980667,elif,notr
-494.391,158.56898,39.779133,43.900047,9.585753,0.90366936,-10.965463,-3.4827175,-4.2203317,-8.762406,0.5069102,-9.155377,-9.352926,-3.9034948,-10.747767,-4.728169,0.13425057,-4.892801,0.5171168,-6.704809,-7.4913626,0.62386745,-6.877001,-6.326934,-3.3155262,-2.6959767,-0.32046413,-7.6321015,-2.6431322,0.11825463,-8.919854,-2.0482678,-0.44968846,-3.249622,-0.93266004,-1.906142,-1.4141436,-1.0194106,-0.07368797,1.7722381,elif,notr
-496.41708,166.76788,29.683216,49.105278,8.319378,0.22427057,-12.083661,-2.829287,-1.0637522,-10.731079,-0.76104015,-7.974145,-8.679997,-3.3453183,-12.167293,-6.180137,0.9778209,-7.3750706,0.15187225,-5.4700336,-9.737917,-0.8827108,-4.6588616,-3.5027895,-5.6485186,-4.4227366,0.78153974,-7.83707,-5.23563,2.3956287,-6.4568,-4.9565587,-1.027379,-4.314164,-1.3797878,-3.8666878,-1.1384958,-0.7702743,-4.6311517,0.7362529,elif,notr
-481.3244,152.04633,44.980743,36.586433,17.18359,-0.4347133,-13.108244,-5.540142,-1.5931726,-7.148441,-1.8150748,-12.526893,-14.860891,-5.044516,-9.969335,-6.835746,-1.3986816,-5.4893303,-2.9193962,-6.3971953,-6.200724,-0.29874924,-5.9336834,-5.277003,-5.4077253,-4.751668,0.9820491,-6.4144745,-5.0673113,-0.67651814,-7.2450914,-2.9684346,-1.1264207,-3.3846245,-0.33602577,-1.432152,-1.0487837,-1.9957411,-1.9762917,0.7869337,elif,notr
-446.9081,133.51814,36.61821,33.664616,0.19156545,0.86123383,3.6725655,5.767423,-10.251507,-9.445852,0.180949,-15.490538,-5.417108,0.77142143,-15.721846,-10.471344,-1.2912526,-2.7638974,-5.509884,-6.275022,-2.3590298,-6.9404025,-7.769335,-3.176619,-5.6776357,-5.2658,-2.634551,-3.9292512,-0.4133206,-0.4121498,-0.97979826,2.2660816,1.521616,1.935718,1.853237,0.96632254,-1.9194567,-2.0243938,-0.9775287,-1.2934171,elif,saskin
-459.5005,131.97678,39.677864,32.35444,-14.093595,-4.2065578,4.288202,5.6991982,-9.243406,-14.248219,-4.983644,-13.423957,-8.122382,-1.8583051,-15.463659,-12.751704,-5.314947,-6.7779875,-3.7985716,-5.766685,-6.9042716,-4.5713143,-1.591137,-4.138554,-4.715873,-1.4136293,-2.474153,-4.269304,-0.060493074,0.11291532,0.1458268,5.816694,6.7510467,6.357278,4.490043,3.5435674,2.4225996,-1.2515998,-0.88823915,1.1124951,elif,saskin
-476.55847,122.405876,39.743526,43.295956,11.392077,1.842401,-0.8319747,2.501452,-0.15464365,-10.234055,-6.1150436,-13.956074,-4.625218,-1.3962597,-18.211643,-9.215132,-3.8900115,-5.42349,-3.7377388,-9.419156,-5.229936,-2.8410513,-6.777699,-8.226492,-7.654227,-1.8694007,-2.5207927,-6.4100795,-3.6522586,-3.4827192,-4.73744,-1.8951663,0.596285,-0.0019619206,1.669309,6.107727,4.711103,2.8762076,5.811355,3.0233507,elif,saskin
-481.97733,140.57283,34.212055,37.069168,3.7078414,-3.839695,-4.2727394,1.3014456,-3.9141126,-5.5026793,1.4279125,-14.001911,-9.96831,0.82940847,-12.937341,-12.323169,-5.085197,-8.15023,-8.45627,-2.9794183,1.9020947,-5.512032,-7.7005467,0.8004847,1.5408704,-3.6598394,-4.212505,-4.475125,-0.25953722,-1.9758143,-5.296808,1.4796402,2.0123181,0.6644156,1.7810497,5.9425364,5.082829,-0.4563538,2.2636263,2.9795718,elif,saskin
-450.1001,125.05623,44.26634,30.628592,-6.584258,-3.2670636,1.7218926,10.982178,0.46717325,-4.3603964,2.0589523,-8.894644,-5.2849727,-2.7768357,-13.327117,-5.9168034,-0.39998224,-7.13605,-3.8971756,-2.649207,-1.1138401,-4.9613714,-6.3781147,-0.3894261,-2.3690188,-2.2393785,-2.4584186,-2.075744,4.095439,0.11692391,-1.7515689,4.0316925,3.1583018,3.5432932,2.5976582,2.1249545,0.9822857,0.28319976,2.5243676,1.6419234,elif,saskin
-421.64017,127.47188,25.615475,47.261154,10.011246,10.32195,-9.211463,-7.905967,-12.734605,-11.850956,-0.39357534,-16.314808,-8.825678,0.1762554,-16.336134,-11.084529,-2.161374,-5.2890472,-4.554969,-7.6203465,-4.416398,-7.7466817,-9.136469,-3.7470386,-5.030872,-7.0091796,-2.305852,-3.6965783,-4.3092594,-2.036334,-3.8496141,-1.3675723,-2.090131,-0.41748142,-1.5916668,-2.048988,-0.073738664,-2.1220274,-0.38504001,0.73841244,elif,sinirli
-390.7366,137.88078,10.631748,17.672483,4.9869905,8.748336,-8.878839,7.7566824,-4.496146,-15.615742,-2.5053742,-15.491786,-9.361806,-1.2643683,-12.951565,-12.801518,-7.5288486,-5.696455,-3.4304683,-6.2910056,-4.6400566,-8.0464115,-9.058645,-0.7789873,-5.833705,-10.268968,-2.118512,-2.2949772,0.87592554,-2.5489955,-2.6312048,4.2361817,-4.130778,0.71886265,1.5487171,-2.0261083,1.8536459,1.2253871,2.5947526,0.5004509,elif,sinirli
-398.02216,129.6188,28.269615,40.464523,3.5173178,8.146326,-7.3787265,-2.483049,-7.252592,-14.966473,-8.542907,-6.685088,-1.985025,-3.7218394,-15.222171,-7.428755,0.67716575,-7.318602,-6.5919843,-9.773453,-5.2862825,-3.9554484,-9.684439,-4.1051936,-0.84865963,-4.719286,-2.397792,-3.2756522,-1.9072199,-1.3490387,-2.5832229,-0.063849375,-3.1985164,-3.064026,0.2331278,3.267244,3.0578523,0.8685797,-0.12172027,0.83596766,elif,sinirli
